Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VYGR,"Voyager Therapeutics, Inc.",27.73,$1.02B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr
VSEC,VSE Corporation,27.15,$297.84M,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/vsec
VTVT,vTv Therapeutics Inc.,1.38,$71.36M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vtvt
VUZI,Vuzix Corporation,4.78,$131.94M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/vuzi
WAFU,Wah Fu Education Group Limited,2.71,$14.09M,2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/wafu
WTRH,Waitr Holdings Inc.,5.52,$423.25M,2016,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/wtrh
WBA,"Walgreens Boots Alliance, Inc.",52.45,$47.95B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/wba
WAFD,"Washington Federal, Inc.",33.07,$2.66B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wafd
WASH,"Washington Trust Bancorp, Inc.",50.36,$872.47M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wash
WSBF,"Waterstone Financial, Inc.",16.84,$471.22M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/wsbf
WTRE,Watford Holdings Ltd.,27.46,$622.87M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/wtre
WVE,WAVE Life Sciences Ltd.,26.18,$896.93M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/wve
WSTG,"Wayside Technology Group, Inc.",11.23,$50.66M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/wstg
WCFB,"WCF Bancorp, Inc.",8.74,$22.39M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wcfb
WDFC,WD-40 Company,162.16,$2.24B,1973,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wdfc
HHHH,Wealthbridge Acquisition Limited,10.1,$75.32M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/hhhh
HHHHR,Wealthbridge Acquisition Limited,0.22,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/hhhhr
